PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
1. Patrick Kane,,NMC,UFA,29,"RW, C",Left,,82,34,55,89,11,21:23,-,-,-,-,-,,"$13,800,000","$10,500,000"
2. Jonathan Toews,,NMC,UFA,29,C,Left,,72,21,37,58,7,20:09,-,-,-,-,-,,"$13,800,000","$10,500,000"
3. Anze Kopitar,,NMC,UFA,30,C,Left,,76,12,40,52,-10,20:45,-,-,-,-,-,,"$14,000,000","$10,000,000"
4. Alex Ovechkin,,M-NTC,UFA,32,"LW, RW",Right,,82,33,36,69,6,18:21,-,-,-,-,-,,"$10,000,000","$9,538,462"
5. Evgeni Malkin,,NMC,UFA,31,"C, RW",Left,,62,33,39,72,18,18:37,-,-,-,-,-,,"$9,500,000","$9,500,000"
6. P.K. Subban,,,UFA,28,D,Right,,66,10,30,40,-8,24:24,-,-,-,-,-,,"$11,000,000","$9,000,000"
7. Sidney Crosby,,NMC,UFA,30,C,Left,,75,44,45,89,17,19:52,-,-,-,-,-,,"$10,900,000","$8,700,000"
8. Corey Perry,,NMC,UFA,32,RW,Right,,82,19,34,53,2,17:42,-,-,-,-,-,,"$10,000,000","$8,625,000"
9. Steven Stamkos,,NMC,UFA,28,C,Right,,17,9,11,20,3,17:52,-,-,-,-,-,,"$9,500,000","$8,500,000"
10. Henrik Lundqvist,,NMC,UFA,36,G,Left,,57,-,-,-,-,-,31,20,2,2.74,.910,,"$9,500,000","$8,500,000"
11. Claude Giroux,,NMC,UFA,30,"C, RW",Right,,82,14,44,58,-15,19:07,-,-,-,-,-,,"$9,000,000","$8,275,000"
12. Ryan Getzlaf,,NMC,UFA,32,C,Right,,74,15,58,73,7,21:04,-,-,-,-,-,,"$9,250,000","$8,250,000"
13. Jakub Voracek,,,UFA,28,RW,Left,,82,20,41,61,-24,19:05,-,-,-,-,-,,"$10,000,000","$8,250,000"
14. Phil Kessel,,"M-NTC, NMC",UFA,30,RW,Right,,82,23,47,70,3,17:56,-,-,-,-,-,,"$9,000,000","$8,000,000"
15. Shea Weber,,,UFA,32,D,Right,,78,17,25,42,20,25:03,-,-,-,-,-,,"$12,000,000","$7,857,143"
16. Rick Nash,,"M-NTC, NMC",UFA,33,"LW, RW",Left,,67,23,15,38,9,16:27,-,-,-,-,-,,"$8,000,000","$7,800,000"
17. Dustin Byfuglien,,NMC,UFA,33,"D, RW",Right,,80,13,39,52,10,27:26,-,-,-,-,-,,"$8,000,000","$7,600,000"
18. Zach Parise,,NMC,UFA,33,LW,Left,,69,19,23,42,-3,17:25,-,-,-,-,-,,"$9,000,000","$7,538,462"
19. Ryan Suter,,NMC,UFA,33,D,Left,,82,9,30,39,34,26:55,-,-,-,-,-,,"$9,000,000","$7,538,462"
20. Jason Spezza,,"M-NTC, NMC",UFA,34,C,Right,,68,15,35,50,-18,16:10,-,-,-,-,-,,"$7,500,000","$7,500,000"
21. Vladimir Tarasenko,,,UFA,26,RW,Left,,82,39,36,75,-1,18:28,-,-,-,-,-,,"$8,000,000","$7,500,000"
22. Ryan O'Reilly,,,UFA,27,"C, LW, RW",Left,,72,20,35,55,-1,21:27,-,-,-,-,-,,"$11,000,000","$7,500,000"
23. Sergei Bobrovsky,,NMC,UFA,29,G,Left,,63,-,-,-,-,-,41,17,7,2.06,.931,,"$8,500,000","$7,425,000"
24. Bobby Ryan,,"M-NTC, NMC",UFA,31,"RW, LW",Right,,62,13,12,25,-3,15:32,-,-,-,-,-,,"$7,000,000","$7,250,000"
25. Kris Letang,,"M-NTC, NMC",UFA,30,D,Right,,41,5,29,34,2,25:31,-,-,-,-,-,,"$7,250,000","$7,250,000"
26. David Krejci,,NMC,UFA,31,C,Right,,82,23,31,54,-12,18:15,-,-,-,-,-,,"$7,250,000","$7,250,000"
27. Dion Phaneuf,,"M-NTC, NMC",UFA,32,D,Left,,81,9,21,30,-6,23:02,-,-,-,-,-,,"$7,500,000","$7,000,000"
28. Drew Doughty,,,UFA,28,D,Right,,82,12,32,44,8,27:08,-,-,-,-,-,,"$7,450,000","$7,000,000"
29. Paul Stastny,,NTC,UFA,32,C,Left,,66,18,22,40,4,19:08,-,-,-,-,-,,"$7,000,000","$7,000,000"
30. Henrik Sedin,,NMC,UFA,37,C,Left,,82,15,36,51,-27,19:02,-,-,-,-,-,,"$7,000,000","$7,000,000"
31. Daniel Sedin,,NMC,UFA,37,LW,Left,,82,15,29,44,-16,18:23,-,-,-,-,-,,"$7,000,000","$7,000,000"
